timestep,reward,length,violations,thrust,sfc,T4
200,212.174016,200,10,5116.75,0.5935987830162048,2740.0517578125
400,-466.534479,200,78,6003.900000000001,0.5447957664728165,2742.66943359375
600,-2451.558179,200,94,6380.301562500001,0.5193893983960152,2745.53076171875
800,-810.729501,200,69,7751.7640625,0.7526203989982605,2745.00439453125
1000,-1383.467097,200,93,5471.6953125,0.586836189031601,2740.847900390625
1200,-271.62637,200,84,10313.009375000001,0.6583528220653534,2782.53759765625
1400,-307.307914,200,93,10359.837500000001,0.6490673869848251,2784.10205078125
1600,-187.134633,200,72,10360.307812500001,0.6489685922861099,2784.117919921875
1800,-541.471543,200,129,10360.3578125,0.6489578634500504,2784.119873046875
2000,-398.308273,200,103,10360.3734375,0.6489545851945877,2784.120361328125
2200,-241.667082,200,76,10360.392187500001,0.6489507853984833,2784.120849609375
2400,261.168202,200,0,10360.3953125,0.6489500403404236,2784.12109375
2600,-494.077284,200,121,10360.3984375,0.6489495933055878,2784.12109375
2800,-594.711258,200,137,10360.400000000001,0.648949146270752,2784.12109375
3000,-560.000331,200,132,10360.3984375,0.6489496678113937,2784.12109375
3200,-58.997653,200,52,10360.400000000001,0.648949146270752,2784.12109375
3400,-120.885328,200,61,10360.400000000001,0.648949146270752,2784.12109375
3600,-321.718481,200,93,10360.400000000001,0.648949146270752,2784.12109375
3800,-578.636757,200,136,10360.400000000001,0.648949146270752,2784.12109375
4000,-123.217284,200,61,10360.3984375,0.64894899725914,2784.12109375
4200,-229.498097,200,81,10360.400000000001,0.648949146270752,2784.12109375
4400,-138.143955,200,67,10360.3984375,0.64894899725914,2784.12109375
4600,-257.541523,200,86,10360.3984375,0.64894899725914,2784.12109375
4800,-267.927367,200,84,10360.3984375,0.64894899725914,2784.12109375
5000,-439.936156,200,115,10360.3984375,0.64894899725914,2784.12109375
5200,17.828523,200,39,10360.3984375,0.64894899725914,2784.12109375
5400,-539.982973,200,129,10360.400000000001,0.648949146270752,2784.12109375
5600,-114.151298,200,58,10360.400000000001,0.648949146270752,2784.12109375
5800,-239.921757,200,82,10360.400000000001,0.648949146270752,2784.12109375
6000,-789.978191,200,169,10360.3984375,0.64894899725914,2784.12109375
6200,62.989548,200,31,10360.400000000001,0.648949146270752,2784.12109375
6400,-315.067533,200,90,10360.3984375,0.6489492207765579,2784.12109375
6600,138.046102,200,19,10360.3984375,0.6489496678113937,2784.12109375
6800,237.221808,200,0,10360.400000000001,0.648949146270752,2784.12109375
7000,-544.334234,200,127,10360.400000000001,0.648949146270752,2784.12109375
7200,-327.673625,200,93,10360.400000000001,0.648949146270752,2784.12109375
7400,-367.053178,200,100,10360.3984375,0.64894899725914,2784.12109375
7600,83.586735,200,29,10360.400000000001,0.648949146270752,2784.12109375
